Nome,Email,cpf,telefone,Titulo,Domain,BreachDate,AddedDate,ModifiedDate,PwnCount,Description,LogoPath,DataClasses,IsVerified,IsFabricated,IsSensitive,IsRetired,IsSpamList,IsMalware,IsSubscriptionFree
Carlos Eduardo Araújo,carlos.eduardo.araújo@example.com,142.583.679-82,41 3590-2562,Email Leak,example.com,2021-03-20,2021-05-24,2021-06-13,7,Libero fugiat animi.,/logos/example_com.png,Physical addresses,False,True,False,False,False,False,True
Luiz Felipe Aragão,luiz.felipe.aragão@dataleak.org,263.014.578-62,+55 (061) 9302-9247,Credential Dump,dataleak.org,2022-07-02,2022-08-26,2022-09-25,3,Sequi sapiente nihil aperiam sit voluptatum aliquam. Odio accusantium quae minus eos.,/logos/dataleak_org.png,Usernames,False,True,True,True,False,False,False
Lucas Gabriel da Rosa,lucas.gabriel.da.rosa@example.com,806.974.153-84,(084) 4272 5928,Email Leak,example.com,2021-07-21,2021-08-04,2021-08-09,9,Iste consectetur sapiente impedit quae in rem. Ratione hic voluptate reprehenderit ut.,/logos/example_com.png,Email addresses,True,False,True,False,False,False,True
Luiz Henrique Aragão,luiz.henrique.aragão@dataleak.org,218.365.407-44,61 3487 8602,Email Leak,dataleak.org,2021-05-17,2021-07-06,2021-07-21,10,Veritatis voluptas totam dolor. Occaecati ab minima ipsum.,/logos/dataleak_org.png,"Passwords, Usernames, Email addresses",False,True,True,False,True,True,False
Sra. Isabella Alves,sra.isabella.alves@testmail.com,283.176.549-82,31 1952 6365,Credential Dump,testmail.com,2023-07-11,2023-07-28,2023-08-09,6,Voluptatem ut aut dolores. Error necessitatibus repellendus consequuntur dolores enim.,/logos/testmail_com.png,"Phone numbers, Physical addresses",True,False,False,False,False,False,False
Giovanna Moraes,giovanna.moraes@example.com,207.143.689-03,(021) 1276 6188,Email Leak,example.com,2020-10-11,2020-12-29,2020-12-30,1,Natus totam ut possimus temporibus aperiam. Nostrum rem quas voluptate.,/logos/example_com.png,"Email addresses, Passwords, Physical addresses",True,True,True,True,False,True,True
Srta. Carolina Araújo,srta.carolina.araújo@testmail.com,760.214.985-85,51 0818 6809,Data Breach,testmail.com,2020-07-15,2020-08-25,2020-08-31,5,Facere nulla odit repudiandae tempora. Quaerat inventore porro consequuntur.,/logos/testmail_com.png,"Email addresses, Physical addresses",False,True,True,True,True,False,True
Miguel da Rocha,miguel.da.rocha@dataleak.org,786.092.531-12,+55 84 6383-5867,Email Leak,dataleak.org,2024-01-08,2024-02-09,2024-03-06,7,Libero officia asperiores veniam sequi repellat quaerat. Sint beatae nam facere.,/logos/dataleak_org.png,"Physical addresses, Email addresses",True,True,True,True,False,False,False
Davi Lucas Porto,davi.lucas.porto@dataleak.org,017.683.459-10,+55 (061) 1390 7905,Email Leak,dataleak.org,2022-03-31,2022-04-25,2022-05-06,1,Eos id accusamus aliquam. Tempora ad quos ex optio quisquam vitae.,/logos/dataleak_org.png,Passwords,True,False,False,True,False,False,False
Murilo Sales,murilo.sales@testmail.com,120.498.567-76,+55 31 6901 7857,Data Breach,testmail.com,2024-04-29,2024-05-10,2024-05-23,1,Esse assumenda quas. Illo vero nostrum repudiandae minima nostrum eum.,/logos/testmail_com.png,"Passwords, Email addresses, Physical addresses",False,False,False,False,True,False,False
